date,sentiment_mean,sentiment_std,tweet_count,positive_ratio,negative_ratio,neutral_ratio,weighted_sentiment_mean
2026-03-01,0.0747,0.5685,120,0.4167,0.3417,0.2417,0.0603
2026-03-02,0.1112,0.5672,120,0.4417,0.2833,0.2750,0.1385
2026-03-03,0.2038,0.5332,120,0.5167,0.2417,0.2417,0.1526
2026-03-04,0.1733,0.4656,120,0.4833,0.2417,0.2750,0.1718
2026-03-05,0.2226,0.4818,119,0.5546,0.2101,0.2353,0.2580
2026-03-06,0.1971,0.5565,120,0.5083,0.2833,0.2083,0.1824
2026-03-07,0.2018,0.5051,120,0.5083,0.2417,0.2500,0.1742
2026-03-08,0.2667,0.5172,120,0.6000,0.1917,0.2083,0.2708
2026-03-09,0.2653,0.4803,120,0.5667,0.1833,0.2500,0.2454
2026-03-10,0.1687,0.4893,120,0.5167,0.2500,0.2333,0.1685
2026-03-11,0.1549,0.5236,120,0.4917,0.2667,0.2417,0.1310
2026-03-12,0.1683,0.5365,120,0.5000,0.2500,0.2500,0.1805
2026-03-13,0.2739,0.5208,120,0.6083,0.1750,0.2167,0.2737
2026-03-14,0.2146,0.5060,120,0.5500,0.2333,0.2167,0.1714
2026-03-15,0.1958,0.5182,100,0.5500,0.2000,0.2500,0.2094
2026-03-16,0.1693,0.4954,120,0.4500,0.2083,0.3417,0.1813
2026-03-17,0.1915,0.4886,119,0.5210,0.2437,0.2353,0.1897
2026-03-18,0.1581,0.5211,120,0.5167,0.2833,0.2000,0.1593
2026-03-19,0.2462,0.5059,120,0.5583,0.2667,0.1750,0.2196
2026-03-20,0.2419,0.5430,119,0.5546,0.2437,0.2017,0.2333
2026-03-21,0.1015,0.5149,120,0.4583,0.2750,0.2667,0.0643
2026-03-22,0.1301,0.5535,120,0.4833,0.2667,0.2500,0.0985
2026-03-23,0.1298,0.5469,120,0.4583,0.2750,0.2667,0.1678
2026-03-24,0.1992,0.4908,120,0.5500,0.2250,0.2250,0.2166
2026-03-25,0.1476,0.5249,120,0.4917,0.3250,0.1833,0.1695
2026-03-26,0.1955,0.5128,120,0.5750,0.2333,0.1917,0.1882
2026-03-27,0.1182,0.5550,120,0.4667,0.2833,0.2500,0.1505
2026-03-28,0.1824,0.5078,120,0.5000,0.2583,0.2417,0.1813
2026-03-29,0.1266,0.5685,120,0.4917,0.3250,0.1833,0.0553
2026-03-30,0.1955,0.5073,119,0.5210,0.2269,0.2521,0.1944
2026-03-31,0.1583,0.4798,120,0.4667,0.2250,0.3083,0.1833
2026-04-01,0.2451,0.4760,120,0.5667,0.1917,0.2417,0.2602
2026-04-02,0.1887,0.5390,120,0.5333,0.2417,0.2250,0.1890
2026-04-03,0.1406,0.5071,120,0.4750,0.2917,0.2333,0.1438
2026-04-04,0.2113,0.5309,120,0.5583,0.2417,0.2000,0.2198
2026-04-05,0.2538,0.4812,120,0.5667,0.1667,0.2667,0.2352
2026-04-06,0.1395,0.5465,120,0.4583,0.2417,0.3000,0.1253
2026-04-07,0.2186,0.5492,120,0.5667,0.2417,0.1917,0.2294
2026-04-08,0.1974,0.5074,120,0.5167,0.2250,0.2583,0.2211
2026-04-09,0.2201,0.4687,120,0.5000,0.2167,0.2833,0.2327
2026-04-10,0.1311,0.5398,120,0.4833,0.2833,0.2333,0.1289
2026-04-11,0.1674,0.4911,120,0.4750,0.2750,0.2500,0.1885
2026-04-12,0.1695,0.4720,120,0.4500,0.2083,0.3417,0.1748
2026-04-13,0.1702,0.4924,109,0.5046,0.2294,0.2661,0.2067
2026-04-14,0.1991,0.5165,120,0.5417,0.2667,0.1917,0.1672
2026-04-15,0.1878,0.4625,110,0.4364,0.2364,0.3273,0.1879
2026-04-16,0.2215,0.5149,120,0.5500,0.2167,0.2333,0.2322
2026-04-17,0.1971,0.5123,120,0.5500,0.2333,0.2167,0.2021
2026-04-18,0.1257,0.5268,120,0.4333,0.2833,0.2833,0.1370
2026-04-19,0.1665,0.5224,120,0.5167,0.2583,0.2250,0.2061
2026-04-20,0.1412,0.5076,120,0.5000,0.2583,0.2417,0.1266
2026-04-21,0.1630,0.4869,119,0.4622,0.2269,0.3109,0.1967
2026-04-22,0.2201,0.4909,118,0.5508,0.2119,0.2373,0.2595
2026-04-23,0.2719,0.4884,120,0.6000,0.2083,0.1917,0.2570
2026-04-24,0.2740,0.4991,120,0.5917,0.1750,0.2333,0.2681
2026-04-25,0.1411,0.4897,120,0.4250,0.2417,0.3333,0.1273
2026-04-26,0.1949,0.5075,120,0.5167,0.2500,0.2333,0.2041
2026-04-27,0.1025,0.5185,120,0.4750,0.2833,0.2417,0.0909
2026-04-28,0.2134,0.5020,120,0.5250,0.2583,0.2167,0.2770
2026-04-29,0.2263,0.5256,120,0.5583,0.2083,0.2333,0.2105
2026-04-30,0.1915,0.4976,120,0.5000,0.2750,0.2250,0.2040
2026-05-01,0.1770,0.5277,120,0.4583,0.2417,0.3000,0.1751
2026-05-02,0.2019,0.5272,120,0.4917,0.2083,0.3000,0.2286
2026-05-03,0.1854,0.5293,100,0.5400,0.2700,0.1900,0.1634
2026-05-04,0.1714,0.5329,120,0.5250,0.2750,0.2000,0.1731
2026-05-05,0.2682,0.4857,120,0.5083,0.1417,0.3500,0.2764
2026-05-06,0.2457,0.4704,120,0.5333,0.2000,0.2667,0.2480
2026-05-07,0.1926,0.4749,120,0.5250,0.2167,0.2583,0.2074
2026-05-08,0.2069,0.4614,120,0.5333,0.1833,0.2833,0.2160
2026-05-09,0.2217,0.5178,120,0.5167,0.2083,0.2750,0.2046
2026-05-10,0.2192,0.5214,120,0.5333,0.2333,0.2333,0.1990
2026-05-11,0.2704,0.4463,120,0.5833,0.1333,0.2833,0.2465
2026-05-12,0.2279,0.5237,120,0.5750,0.2417,0.1833,0.2454
2026-05-13,0.2057,0.5135,120,0.4583,0.2000,0.3417,0.1718
2026-05-14,0.1798,0.4954,120,0.5250,0.2500,0.2250,0.1731
2026-05-15,0.2847,0.5203,119,0.5882,0.1681,0.2437,0.2902
2026-05-16,0.2205,0.5172,120,0.5500,0.2500,0.2000,0.2044
2026-05-17,0.1549,0.5195,119,0.5462,0.2857,0.1681,0.1276
2026-05-18,0.1770,0.5313,120,0.5083,0.2833,0.2083,0.1450
2026-05-19,0.2991,0.5023,119,0.6218,0.1849,0.1933,0.3159
2026-05-20,0.2856,0.4489,120,0.5750,0.1583,0.2667,0.3195
2026-05-21,0.2838,0.4487,120,0.5833,0.1500,0.2667,0.2957
